srno,freedomFighter,countriesVisited,booksPublished,sportsInterests,socialActivities,otherInformation
239,No,"U.S.A., U.K., France, Russia, Canada, Japan, Denmark, Rome (Italy), Malaysia, Singapore, Thailand, Yugoslavia, Mauritius, Morocco, etc.","An eminent Telugu writer; authored over seventy volumes of free verse and long poems, lyrical plays and literary criticism; has written Ghazals in Telugu and Aphorisms (Prapanchapadis); rendered into Telugu fifty songs of Meera Bai, fifty English poems of Sarojini Naidu and sayings of Mahatma Gandhi, in metre; also translated some of the sayings of Khalil Gibran","Fine arts, films, arts and culture","Awarded with (i) the best poetry award for his long poem Ritucakram, A.P.Sahitya Academy, 1960, (ii) Central Sahitya Academy Award for Mantalu-Manavudu (volume of free verse) as the best literary work in Telugu, 1974, (iii) D. Litt. (Honoris Causa), Meerut University, U.P., 1976, (iv) Kala Prapoorna (Honoris Causa), Andhra University, Waltair, 1978, (v) D.Litt. (Honoris Causa), Nagarjuna University, Guntur, 1984, (vi) D.Litt. (Honoris Causa), Kakatiya University, Warangal, 1988, (vii) Padmashri, 1977, (viii) the best Telugu work, awarded by Bharatiya Bhasha Parishad, Calcutta for Viswambhara, 1979-80, (ix) Kumaran Asan Award of Trivandrum for Viswambhara as the best Telugu poetical work, 1982, (x) Soviet Land Nehru Award ('A' category) for the year 1982, (xi) Harmony Award by the Organisation of Understanding and Fraternity, New Delhi, 1987, (xii) Sri Raja Lakshmi Award for Outstanding Contribution to Telugu Literature for the year 1988, (xiii) Bharatiya Jnanapith Award, 1988 and (xiv) Padma Bhushan, 1992; creative writing","Professor of Telugu (Retired), Osmania University, Hyderabad; Chairman, (i) Standing Committee of Academic Matters of Telugu Academy, Hyderabad; Member, (i) Governing Body of Indian Council for Cultural Relations, New Delhi, (ii) Panel on Indian, Oriental and African Language and Literature, U.G.C., New Delhi, (iii) Advisory Committee on the Publication Programmes of the Publications Division, Ministry of Information and Broadcasting, New Delhi, (iv) National Integration Council, (a) Committee on Education and (b) Committee on Promotion of Communal Harmony, New Delhi, (v) Standing Committee of Association of Indian Universities, New Delhi, (vi) Cultural Committee of Association of Indian Universities, New Delhi, (vii) Staff Affairs Committee of Association of Indian Universities, New Delhi, (viii) Zonal Advisory Board of Life Insurance Corporation, South Zone, Hyderabad, (ix) Governing Body of South Zone Cultural Centre, Tanjore and (x) Executive Council of South Central Zone Cultural Centre, Nagpur; participated in, (i) the Second World Telugu Conference held at Kuala Lumpur, Malaysia, 1981, as an Official Delegate, (ii) the Third North American Telugu Conference held at Chicago, May, 1981, as a Special Invitee (gave Lectures on Telugu language in fifteen North American cities), (iii) the inaugural function of the Fifth North American Telugu Conference held at Los Angeles, 1985, (iv) the Commonwealth Universities' Executive Heads Conference held in Penang from 15 to 21 August 1986, (v) the World Peace Congress held at Copenhagen from 15 to 21 October 1986, as a Special Invitee, (vi) 'Struga Poetry Festival' held in Yugoslavia, 1990, as a poet representing all Indian languages and (vii) the Third World Telugu Conference held in Mauritius, December 1990, as Leader of the Cultural Delegation"
240,No,"U.S.A., U.K., China, Germany, France, Switzerland and Hong Kong",,(i) Secunderabad Club and (ii) Nizam Club; reading,Sports,"Chairman, Tourism Development Corporation, Andhra Pradesh"
241,No,"Budapest (Hungary), Sofia (Bulgaria) and Bucharest (Romania) as a member of Indian Goodwill Delegation of Parliamentarians; U.S.A. and Italy as a member of Indo-US Parliamentary Forum",,"Member, (i) Lions Club and (ii) Annamacharya Vignana Peetam; reading, music, gardening and swimming","President, Sri Sundara Sathsangh, Cuddapah; spiritual activities, social welfare and sports",
242,No,"U.S.S.R., U.K., France, Finland, Italy, South Africa and Mongolia",,"Reading, cultural programmes and visiting places of importance",Worked for the welfare of the weaker sections and communal harmony; upliftment of the rural and urban poor; study of the culture and traditions of people belonging to all parts of India,"Previously associated with the C.P.I. and the Indian National Congress; Chairman, Andhra Pradesh Mineral Development Corporation"
243,No,,"Al-Ilm Publications, Mumbai","President, Rizvi Sports Club; Khar Gymkhana, Garware Club","Ph.D in science; education, sports and social activities","Constructed 600 multi-storeyed buildings at Mumbai and Goa; about 200 projects are under progress; re-accommodated about 5000 slum dwellers and residents of the old dilapidated buildings, free of charge; participated substantially in the building industry for development of 200 houses in earthquake affected Latur district; constructed 300 houses at own cost within 8 days at the request of the Maharashtra State Government to rehabilitate the riot affected people of Bhiwandi; proposal under consideration to redevelop slum areas to provide 10,000 houses to slum dwellers in Mumbai, free of charge on ownership basis; Proprietor, Rizvi Builders; adopted and developed playgrounds, parks and gardens and maintaining them at own cost such as a joggers park at Carter Road, Bandra, public park and playground at Bandra reclamation and gardens throughout the Islands taken out from the Municipal Corporation of Bombay; President, (i) Rizvi Education Society Charitable Trust, (ii) Jaunpur Inter and Degree College of Arts, Science and Commerce, Uttar Pradesh, (iii) Meena Rizvi Girls College, Jaunpur, (iv) Dr. Rizvi Learner's Academy, Jaunpur, (v) Dr. Rizvi Girls Degree College, Karari, Allahabad and (vi) Dr. Rizvi Girls School and Inter College, Karari, Allahabad; Chairman, (i) Board of Trustees, (ii) Rizvi College of Arts, Commerce and Science, Mumbai, (iii) Spring Field High School (English Medium), Mumbai, (iv) Rizvi College of Architecture (5 years Degree Course), (v) Rizvi College of Hotel Management and Catering Technology, Mumbai, (vi) Post-Graduate Institute of Computer Science, Mumbai, (vii) Rizvi Institute of Management Studies and Research, Mumbai, (viii) Rizvi College of Engineering, Mumbai, (ix) Shia Degree College, Lucknow and (x) Manav Kalyan Kendra, All India Shia Council of India; Chairman and Managing Director, (i) Rizvi Estates and Hotels Pvt. Ltd., (ii) Rizvi Land Developments Pvt. Ltd. and (iii) Rizvi Hotels and Resorts Ltd. ; was Member, (i) Executive Council, Bombay University and (ii) Senate, Bombay University; previously associated with Samajwadi Party"
244,No,,,"Reading books, periodicals and cooking",Social work and teaching,"Associated with the Revolutionary Socialist Party (R.S.P.) since 1959; Member, All India Progressive Students' Union (A.I.P.S.U.), Student Wing of the R.S.P., 1959-65 and Revolutionary Youth Front, 1973-75"
245,No,"U.S.A., U.K., France, Germany, Middle East, U.A.E., Kenya, Saudi Arabia, Switzerland, Canada, Australia, New Zealand, Russia, Phillipines, Malaysia, Singapore, Pakistan, Turkey, Afghanistan, Nigeria, Spain, Sri Lanka and China","In English, Expression of Thoughts, selected speeches of Shri K. Rahman Khan, 2011; in Urdu, “Izhar-E-Khayal”, 2011; Editor, Urdu Daily ‘Salar’, 1978-1982, contributed landmark editorials and columns on various social and political issues; Chief Editor, Urdu weekly ‘Tarjuman-e-Junub’, contributed regular columns on vital issues on minority education and employment; established first evening English daily newspaper ‘Southern Speaker’ from Bengaluru, which became one of the prominent English newspaper",Music and badminton,"Chairman, K.K.Education & Charitable Trust; Pro Vice- Chairman, Managing Committee of Delhi Public School (South, North, East Bangalore and Mysore); Vice-President, Al-Ameen Charitable Fund Trust Bijapur; Director, Accounting Research Foundation of the ICAI; Trustee, Urdu Daily Salar; awarded, Ph. D. degree (Honoris Causa) by the Integral University, Lucknow for his contribution in creating social cohesion within the society; Conferred, several awards including Sahkara Ratna Award by the Government of Karnataka for excellence in promotion of co-operatives and Tipu Sultan Award for promotion of education","Associated with several bodies/institutes, etc.; Was Chairman, (i) Institute of Chartered Accountants of India, Bangalore Branch and (ii) Al-Ameen Educational Society; was President, Central Muslim Association of Karnataka; was Vice-President, Majlis-e-Millia Islamia; was Executive Director, Karnataka Wakf Development Corporation; was Treasurer, Southern India Council of Institute of Chartered Accountants of India; was Member, (i) Court of the Aligarh Muslim University and (ii) Karnataka State Board of Wakf; Ex-President, Amanath Co-operative Bank Limited (a Scheduled Bank); Ex-Trustee, Karnataka Baithul Hujaj Trust, Bangalore; Ex-Member, Governing Council, Jayadeva Institute of Cardiology, Bangalore Visits abroad as Leader/Member of the Indian Parliamentary Delegations in his capacity as Deputy Chairman, Rajya Sabha: Leader of the Indian Parliamentary Delegation (i) to attend the European Parliament, Strasbourg, France in July 2005 and (ii) to attend the Mid Year Executive Committee Meeting of CPA at Jersey in April 2008; Member of Indian Parliamentary Delegation (i) to attend the 50th Commonwealth Parliamentary Association at Canada in September 2004, (ii) to attend the 112th Assembly of the Inter-Parliamentary Union and related meetings at Manila in April 2005, (iii) to attend the 113th Inter-Parliamentary Union Conference at Geneva in October 2005, (iv) to attend the 100th Anniversary of the Parliamentary Reforms in Finland at Helsinki, 1-7 June 2006, (v) Indian Parliamentary Delegation to Saudi Arabia in February 2007 and (vi) to attend the 117th Assembly of the Inter-Parliamentary Union at Geneva in October 2007; Member of Indian Parliamentary Goodwill Delegation to China, 3-8 July 2006; Represented India as leader of the Haj Goodwill Delegation for the Haj 2006 in January 2006; Attended, (i) Executive Committee Meeting of the Commonwealth Parliamentary Association, Isle of Man, U.K., 3-8 May 2006, (ii) 52nd CPA Conference held in Abuja, Nigeria in September 2006, (iii) 115th Assembly of the Inter-Parliamentary Union at Geneva in October 2006 (iv) 3rd India and Asia Regions Commonwealth Parliamentary Conference, Islamabad, March 2007; (v) 53rd Commonwealth Parliamentary Association (CPA) Conference held at New Delhi, 21-30 September 2007; (vi) 54th CPA Conference at Kuala Lumpur (Malaysia), 4-10 August 2008; (vii) 117th Assembly of IPU at Geneva, October 2007, (viii) 19th Conference of Speakers and Presiding Officers of the Commonwealth Countries, U.K., 2008, (ix) 123rd Assembly of IPU Conference at Geneva, October 2010 and (x) 4th India and Asia Commonwealth Parliamentary Association Regions Conference at Raipur (India) in October, 2010; Represented India to attend , (i) National Day of Libya, 2009, (ii) 121st Assembly of the IPU, Geneva, October 2009, (iii) 20th Conference of Speakers and Presiding Officers of the Commonwealth Countries, New Delhi, January 2010, (iv) 122nd Assembly of the IPU, Bangkok (Thailand), March 2010, (v) 3rd World Conference of Speakers of Parliaments, Geneva, July 2010, (vi) Inaugural Forum on Islamic Banking and Marketing at the Invitation of University of Oxford, Oxford, July 2010 and (vii) G-20, Speakers' Consultation-Presiding Officers of the Upper and Unicameral Houses of the G-20, Ottawa (Canada), September 2010"
246,No,Pakistan,,Sports and agriculture,Listening to religious preachings by Gurus (Gurubani),"Secretary, Mata Ganga Khalsa College for Girls, Kottan, District Ludhiana since June 1997; Chairman, Baba Zorabar Singh Fateh Singh Public School, Kottan, Distt. Ludhiana since April 1998"
247,No,"Extensively travelled in Europe, America, China, South East Asia, Australia, New Zealand, Africa, Israel, South America and West Asia",,,,"Member, Rashtriya Swayamsevak Sangh (R.S.S.) since childhood; second year Sangh Shiksha Varg, activist of Akhil Bharatiya Vidhyarthi Parishad; working as a whole time Pracharak for Jana Sangh, Janata Party and Bharatiya Janata Party since 1974; Sub-Editor, Tarun Bharat, 1970-71; School Teacher, 1971-74; detained in Nasik Road Central Prison, Maharashtra during the Emergency, 1975-77"
248,No,Almost all over the world,Author of a few books on cinema in Bengali and English,"Reading, travelling, attending seminars and film festivals","Awarded with (i) 'Swarna Kamal' for the, best film of the year (four times), (ii) 'Rajat Kamal' for the best film in various categories/crafts (many times),(iii) Nehru Soviet Land Award, 1979, (iv) Padma Bhushan, 1981, (v) Commandeur de L'ordre des Arts et Lettres (France), 1983, (vi) D.Litt (Honoris Causa), Burdwan University and (vii) Jadavpur University, Calcutta, 1996; won prizes at international film festivals at Cannes, Venice, Berlin, Moscow, Karlovy Vary (Czechoslovakia), Chicago, Montreal, Valladolid (Spain), Avillino (Italy), Carthage (Tunisia), Colombo, Delhi, etc.","Initially started writing on aesthetics of cinema, its philosophy, its socio-political relevance and on the possibility of building a new cinema; made feature films in Bengali, Hindi, Oriya and Telugu; was Vice-President, Cinema et Liberte, Paris; was Chairman, (i) Film and Television Institute of India, Pune and (ii) Indian People's Human Rights Commission, New Delhi; Chairman, International Federation of Film Societies, London/Berne; was Member, (i) Executive Council, Visva Bharati University, Santiniketan and (ii) International Jury of Film Festivals held at Cannes, Venice, Berlin, Moscow, Karlovy Vary (Czechoslovakia), Tokyo, Tehran, Mannheim, Nyon, Chicago, Ghent, Tunis, etc.; Member, International Committee, Eisenstein Centenary Festival, Moscow; attended seminars and symposia in various universities and international centres all over the world"
249,No,"Moscow (U.S.S.R.) to represent the country in World Youth Festival in 1985, Mexico, U.S.A., the Netherlands, France, Switzerland, as a member of delegation of farmers in the year 2001; London (U.K.), as member of the U.N. AIDS delegation",,,,"General Secretary, College Student's Union; actively participated in the movement led by Lok Nayak Jai Prakash Narain in 1974; brought many important public issues through the Public Interest Litigation (PIL) (including A.H.D. Scam, Bihar) in the High Court and the Supreme Court"
