id,srno,committeeName,status,house,Date
298,2557,External Affairs,Member,Lok Sabha,2025-09-26
299,2557,JCCA and UTB,Member,Lok Sabha,2025-11-12
300,2557,"Joint Committee on the Constitution (One Hundred and Twenty-Ninth Amendment) Bill, 2024 and the Union Territories Laws (Amendment) Bill, 2024",Member,Lok Sabha,2024-12-23
301,2557,Public Accounts,Member,Lok Sabha,2025-05-01
302,2557,Railways,Member,Lok Sabha,2025-09-26
303,2558,Papers Laid on the table,Chairman,Rajya Sabha,2024-10-22
304,2558,Business Advisory Committee,Member,Rajya Sabha,2024-11-25
305,2558,General Purposes Committee,Member,Rajya Sabha,2025-11-13
306,2558,Energy,Member,Lok Sabha,2025-09-26
307,2559,Subordinate Legislation,Member,Rajya Sabha,2024-10-22
308,2559,Industry,Member,Rajya Sabha,2025-09-26
309,2560,Committee on Welfare of Other Backward Classes,Member,Lok Sabha,2025-09-09
310,2560,"Labour, Textiles and Skill Development",Member,Lok Sabha,2025-09-26
311,2562,Rules,Member,Rajya Sabha,2024-12-31
312,2562,"Consumer Affairs, Food and Public Distribution",Member,Lok Sabha,2025-12-15
313,2561,House Committee,Member,Rajya Sabha,2024-10-22
314,2561,Railways,Member,Lok Sabha,2025-09-26
315,2563,Health and Family Welfare,Member,Rajya Sabha,2025-09-26
316,2564,Government Assurances,Member,Rajya Sabha,2024-10-22
317,2564,"Coal, Mines and Steel",Member,Lok Sabha,2025-09-26
318,2565,Papers Laid on the table,Member,Rajya Sabha,2024-10-22
319,2565,"Coal, Mines and Steel",Member,Lok Sabha,2025-09-26
320,2567,"Joint Committee on the Waqf (Amendment) Bill, 2024",Member,Lok Sabha,2024-08-13
321,2567,Water Resources,Member,Lok Sabha,2025-09-26
322,2566,Social Justice & Empowerment,Member,Lok Sabha,2025-09-26
323,2569,Social Justice & Empowerment,Member,Lok Sabha,2025-09-26
324,2568,Rural Development and Panchayati Raj,Member,Lok Sabha,2025-09-26
325,2571,Subordinate Legislation,Member,Rajya Sabha,2024-10-22
326,2571,Rules,Member,Rajya Sabha,2024-12-31
327,2571,Privileges,Member,Rajya Sabha,2025-10-31
328,2571,Communications and Information Technology,Member,Lok Sabha,2025-09-26
329,2572,Information and Communication Technology Management in Rajya Sabha,Member,Rajya Sabha,2024-10-23
330,2572,Energy,Member,Lok Sabha,2025-09-26
331,2572,"Joint Committee on the Waqf (Amendment) Bill, 2024",Member,Lok Sabha,2024-08-13
332,2574,Information and Communication Technology Management in Rajya Sabha,Member,Rajya Sabha,2024-10-23
333,2574,Communications and Information Technology,Member,Lok Sabha,2025-09-26
334,2574,"Joint Committee on the Constitution (One Hundred and Twenty-Ninth Amendment) Bill, 2024 and the Union Territories Laws (Amendment) Bill, 2024",Member,Lok Sabha,2024-12-23
335,2575,Subordinate Legislation,Member,Rajya Sabha,2024-10-22
336,2575,Commerce,Member,Rajya Sabha,2025-09-26
337,2577,"Consumer Affairs, Food and Public Distribution",Member,Lok Sabha,2025-09-26
338,2576,Government Assurances,Member,Rajya Sabha,2024-10-22
339,2576,Health and Family Welfare,Member,Rajya Sabha,2025-09-26
340,2578,Rural Development and Panchayati Raj,Member,Lok Sabha,2025-09-26
341,2579,Subordinate Legislation,Member,Rajya Sabha,2024-10-22
342,2579,"Transport, Tourism and Culture",Member,Rajya Sabha,2025-09-26
343,2580,Rural Development and Panchayati Raj,Member,Lok Sabha,2025-09-26
344,2582,"Education, Women, Children, Youth and Sports",Member,Rajya Sabha,2025-10-16
345,2582,Empowerment of Women,Member,Lok Sabha,2025-04-21
346,2581,Finance,Member,Lok Sabha,2025-09-26
347,2583,External Affairs,Member,Lok Sabha,2025-09-26
348,2584,Joint Committee on Salaries and Allowances of Members of Parliament,Member,Lok Sabha,2025-03-24
349,2584,Petroleum & Natural Gas,Member,Lok Sabha,2025-09-26
350,2585,"Transport, Tourism and Culture",Member,Rajya Sabha,2025-12-15
351,2585,Empowerment of Women,Member,Lok Sabha,2025-04-21
352,2585,JCCA and UTB,Member,Lok Sabha,2025-11-12
353,2587,Ethics,Member,Rajya Sabha,2024-10-10
354,2587,Railways,Member,Lok Sabha,2025-09-26
355,2586,Subordinate Legislation,Member,Rajya Sabha,2024-10-22
356,2586,"Transport, Tourism and Culture",Member,Rajya Sabha,2025-09-26
357,2588,Finance,Member,Lok Sabha,2025-09-26
358,2588,"Joint Committee on the Constitution (One Hundred and Twenty-Ninth Amendment) Bill, 2024 and the Union Territories Laws (Amendment) Bill, 2024",Member,Lok Sabha,2025-03-24
